California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 90831,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 91001,"36,126","17,421","18,705",41.6,40.1,43.2,2.83,3.28,"2,076","8,241","26,630","10,088","7,342","4,953",51.8%,22.8%,
ZCTA5 91006,"31,715","15,283","16,432",42.7,41.7,43.6,2.98,3.32,"1,463","7,182","23,531","9,096","6,706","4,753",51.8%,22.6%,
ZCTA5 91007,"34,095","16,039","18,056",43.8,42.3,45.1,2.73,3.24,"1,454","6,915","26,105","10,795","8,357","6,307",53.0%,20.3%,
ZCTA5 91008,"1,391",614,777,54.6,51.4,58,2.39,3.09,38,186,"1,165",687,587,479,55.9%,13.4%,
ZCTA5 91010,"26,074","12,461","13,613",38.1,36,40,3.20,3.72,"1,617","6,118","18,819","6,911","5,196","3,712",52.2%,23.5%,
ZCTA5 91011,"20,280","9,863","10,417",45.9,45.5,46.2,2.95,3.24,751,"5,322","14,271","6,380","4,539","3,192",51.4%,26.2%,
ZCTA5 91016,"40,598","19,434","21,164",37.9,35.9,39.6,2.69,3.27,"2,621","9,532","29,543","9,610","6,908","4,718",52.1%,23.5%,
ZCTA5 91020,"8,415","3,966","4,449",40.2,38.3,41.6,2.43,3.14,379,"1,815","6,284","2,091","1,527","1,075",52.9%,21.6%,
ZCTA5 91024,"10,917","5,165","5,752",46.6,45.4,47.6,2.26,2.89,513,"2,095","8,597","3,794","2,799","1,895",52.7%,19.2%,
ZCTA5 91030,"25,616","12,160","13,456",40.1,39.2,40.8,2.43,3.06,"1,324","5,996","18,910","6,241","4,500","3,104",52.5%,23.4%,
ZCTA5 91040,"20,372","10,120","10,252",43.3,42.4,44,2.72,3.25,"1,018","3,901","15,711","5,921","4,222","2,891",50.3%,19.1%,
ZCTA5 91042,"27,585","13,734","13,851",40.7,39.7,41.8,2.74,3.25,"1,457","5,427","21,132","7,376","5,097","3,340",50.2%,19.7%,
ZCTA5 91046,156,51,105,74,65.5,78.2,1.37,2.6,3,11,143,116,115,108,67.3%,7.1%,
ZCTA5 91101,"20,460","9,926","10,534",33.7,33.2,34.3,1.86,2.8,"1,177","2,762","17,129","4,057","3,190","2,412",51.5%,13.5%,
ZCTA5 91103,"27,480","13,481","13,999",35,33.4,36.8,3.11,3.71,"1,897","6,975","19,277","6,312","4,785","3,402",50.9%,25.4%,
ZCTA5 91104,"36,751","17,874","18,877",38.2,36.9,39.6,2.80,3.39,"2,471","8,156","27,291","8,822","6,388","4,431",51.4%,22.2%,
ZCTA5 91105,"11,254","5,432","5,822",49,47.6,50.5,2.07,2.68,485,"1,617","9,436","4,568","3,714","2,810",51.7%,14.4%,
ZCTA5 91106,"24,229","11,993","12,236",34.6,33.2,36.3,2.17,2.91,"1,264","3,773","19,166","5,246","3,961","2,802",50.5%,15.6%,
ZCTA5 91107,"32,940","15,940","17,000",41.2,39.9,42.6,2.51,3.11,"1,867","6,384","25,643","9,610","7,258","5,280",51.6%,19.4%,
ZCTA5 91108,"13,361","6,410","6,951",45.4,44.7,46,3.01,3.27,525,"3,460","9,570","4,350","3,239","2,355",52.0%,25.9%,
ZCTA5 91201,"22,781","11,123","11,658",40.4,39,41.7,2.78,3.28,"1,044","4,132","17,808","6,207","4,644","3,322",51.2%,18.1%,
ZCTA5 91202,"22,830","10,805","12,025",41.7,40.1,43,2.56,3.12,"1,149","3,962","18,155","6,769","5,130","3,797",52.7%,17.4%,
ZCTA5 91203,"13,220","6,279","6,941",38.9,37.6,40.4,2.62,3.2,632,"2,313","10,444","3,441","2,541","1,849",52.5%,17.5%,
ZCTA5 91204,"16,032","7,699","8,333",38.1,36.6,39.5,2.76,3.34,831,"3,106","12,313","4,033","3,062","2,277",52.0%,19.4%,
ZCTA5 91205,"37,810","18,084","19,726",39.1,36.7,41.1,2.67,3.3,"1,816","7,054","29,176","10,079","7,551","5,585",52.2%,18.7%,
ZCTA5 91206,"33,065","15,544","17,521",42.6,41,43.9,2.48,3.06,"1,544","5,523","26,478","10,163","7,867","5,839",53.0%,16.7%,
ZCTA5 91207,"10,506","4,924","5,582",45.5,45.2,45.8,2.56,3.08,554,"1,860","8,365","3,616","2,816","2,059",53.1%,17.7%,
ZCTA5 91208,"16,245","7,756","8,489",43.6,43.1,44,2.66,3.13,821,"3,378","12,359","4,905","3,677","2,611",52.3%,20.8%,
ZCTA5 91210,328,162,166,33.9,33.9,34,1.84,2.48,13,36,286,49,33,18,50.6%,11.0%,
ZCTA5 91214,"30,356","14,642","15,714",42.5,41.5,43.3,2.87,3.27,"1,262","7,227","21,866","7,891","5,555","3,867",51.8%,23.8%,
ZCTA5 91301,"25,488","12,511","12,977",42.7,41.8,43.5,2.76,3.15,"1,115","6,184","18,345","6,850","4,590","2,838",50.9%,24.3%,
ZCTA5 91302,"25,709","12,487","13,222",42.4,41.8,42.9,2.76,3.14,"1,184","6,594","18,279","7,132","4,975","3,348",51.4%,25.6%,
ZCTA5 91303,"26,855","13,907","12,948",31.1,30.4,32.1,3.08,3.62,"2,148","7,012","18,643","3,689","2,540","1,688",48.2%,26.1%,
ZCTA5 91304,"50,231","24,827","25,404",35.9,34.6,37.4,3.00,3.45,"3,246","12,497","35,622","11,208","8,191","5,769",50.6%,24.9%,
ZCTA5 91306,"45,061","22,679","22,382",35.4,34,36.7,3.28,3.64,"3,008","10,847","32,247","9,318","6,671","4,580",49.7%,24.1%,
ZCTA5 91307,"24,474","11,939","12,535",43.4,42.1,44.5,2.91,3.23,"1,155","5,585","17,955","7,173","5,418","4,000",51.2%,22.8%,
ZCTA5 91311,"36,557","17,838","18,719",42.7,41.2,44.1,2.66,3.13,"1,697","7,200","28,081","10,929","8,106","5,634",51.2%,19.7%,
ZCTA5 91316,"26,898","12,717","14,181",42.1,40.7,43.6,2.26,2.9,"1,491","4,548","21,719","8,592","6,738","5,031",52.7%,16.9%,
ZCTA5 91320,"44,274","21,952","22,322",39.9,39.1,40.7,2.93,3.26,"2,589","11,780","31,071","10,547","7,752","5,136",50.4%,26.6%,
ZCTA5 91321,"34,882","17,402","17,480",33.3,31.2,35.5,3.04,3.57,"2,555","9,064","23,944","7,454","5,633","4,190",50.1%,26.0%,
ZCTA5 91324,"27,669","13,545","14,124",36.5,34.6,38.3,2.95,3.45,"1,503","6,085","20,132","6,777","5,053","3,662",51.0%,22.0%,
ZCTA5 91325,"32,417","15,819","16,598",35.4,33.7,37.2,2.72,3.29,"1,701","6,417","24,033","7,869","5,806","4,219",51.2%,19.8%,
ZCTA5 91326,"33,708","16,394","17,314",42.7,41.7,43.6,2.86,3.2,"1,581","7,162","25,280","10,309","7,660","5,221",51.4%,21.2%,
ZCTA5 91330,"2,702","1,103","1,599",19.6,19.7,19.5,2.50,3,0,18,650,11,4,1,59.2%,0.7%,
ZCTA5 91331,"103,689","52,358","51,331",29.5,28.9,30.2,4.60,4.63,"8,704","31,452","66,503","16,114","11,355","7,853",49.5%,30.3%,
ZCTA5 91335,"74,363","36,596","37,767",35.5,33.9,37.1,3.21,3.7,"4,760","17,622","53,346","15,819","11,586","8,227",50.8%,23.7%,
ZCTA5 91340,"34,188","17,130","17,058",30.1,29.5,30.8,4.17,4.34,"2,796","10,180","22,284","5,602","3,955","2,766",49.9%,29.8%,
ZCTA5 91342,"91,725","45,786","45,939",31.9,30.6,33.1,3.83,4.09,"6,865","26,056","60,995","16,616","11,669","7,944",50.1%,28.4%,
ZCTA5 91343,"60,254","30,145","30,109",32.3,31.3,33.4,3.55,3.83,"4,610","16,778","40,588","10,930","7,820","5,463",50.0%,27.8%,
ZCTA5 91344,"51,747","25,212","26,535",41,39.8,42.2,3.03,3.4,"2,544","11,218","38,361","14,327","10,628","7,651",51.3%,21.7%,
ZCTA5 91345,"18,496","9,110","9,386",35.7,33.5,38.1,3.52,3.93,"1,132","4,520","13,082","4,384","3,352","2,532",50.7%,24.4%,
ZCTA5 91350,"33,348","16,270","17,078",36.4,35.4,37.4,3.01,3.37,"2,115","8,936","22,944","6,587","4,509","2,931",51.2%,26.8%,
ZCTA5 91351,"32,362","16,086","16,276",33.9,32.5,35.2,3.22,3.56,"2,216","8,987","21,856","5,539","3,732","2,437",50.3%,27.8%,
ZCTA5 91352,"47,807","23,980","23,827",32.1,31.3,33,3.95,4.21,"3,514","13,099","32,201","8,963","6,370","4,310",49.8%,27.4%,
ZCTA5 91354,"28,722","14,046","14,676",36.4,35.5,37.1,3.01,3.38,"1,991","8,710","19,031","4,688","3,179","1,989",51.1%,30.3%,
ZCTA5 91355,"32,605","15,773","16,832",38.8,37.4,39.9,2.51,3.05,"1,863","7,383","23,861","7,725","5,548","3,742",51.6%,22.6%,
ZCTA5 91356,"29,458","14,216","15,242",41.7,40.4,43,2.50,3.1,"1,609","6,094","22,444","8,938","6,860","4,928",51.7%,20.7%,
ZCTA5 91360,"42,402","20,755","21,647",41.5,39.7,43.5,2.76,3.2,"2,067","9,133","30,908","12,318","9,538","7,109",51.1%,21.5%,
ZCTA5 91361,"20,438","9,854","10,584",47.6,46.4,48.7,2.43,2.89,818,"4,191","15,682","7,625","5,913","4,370",51.8%,20.5%,
ZCTA5 91362,"36,045","17,562","18,483",42.6,41.5,43.7,2.65,3.08,"1,780","8,654","26,211","10,060","7,344","4,889",51.3%,24.0%,
ZCTA5 91364,"25,851","12,739","13,112",44,43.1,45,2.47,2.98,"1,345","5,184","19,982","8,294","6,325","4,528",50.7%,20.1%,
ZCTA5 91367,"39,499","19,171","20,328",41,39.7,42.3,2.35,2.96,"2,046","7,212","31,073","11,600","8,795","6,517",51.5%,18.3%,
ZCTA5 91371,1,0,1,73.5,0,73.5,1.00,0,0,0,1,1,1,1,100.0%,0.0%,
ZCTA5 91377,"13,811","6,641","7,170",41.7,40.3,42.8,2.68,3.14,604,"3,622","9,668","3,098","1,919","1,173",51.9%,26.2%,
ZCTA5 91381,"20,158","9,852","10,306",36,35.2,36.6,3.04,3.44,"1,280","6,382","13,057","2,860","1,892","1,197",51.1%,31.7%,
ZCTA5 91384,"29,855","18,503","11,352",32.5,30.9,36.1,3.30,3.59,"1,527","6,826","20,771","3,865","2,303","1,393",38.0%,22.9%,
ZCTA5 91387,"40,328","20,106","20,222",33,32,34,3.13,3.47,"3,012","11,740","26,706","6,288","4,117","2,530",50.1%,29.1%,
ZCTA5 91390,"19,786","9,911","9,875",40.1,40.1,40.1,3.07,3.39,"1,056","5,432","13,483","3,972","2,589","1,625",49.9%,27.5%,
ZCTA5 91401,"39,285","19,613","19,672",36,34.7,37.3,2.70,3.32,"2,592","8,713","28,979","8,285","5,858","3,990",50.1%,22.2%,
ZCTA5 91402,"69,817","35,095","34,722",30.1,29,31.3,3.81,4.06,"5,943","20,434","45,772","10,769","7,503","5,073",49.7%,29.3%,
ZCTA5 91403,"23,484","11,277","12,207",39.4,38.6,40.2,2.06,2.78,"1,304","3,725","19,318","6,089","4,669","3,401",52.0%,15.9%,
ZCTA5 91405,"51,145","25,498","25,647",32.6,31.5,33.7,3.11,3.65,"3,852","13,254","35,590","8,840","6,280","4,351",50.1%,25.9%,
ZCTA5 91406,"51,558","25,956","25,602",33.6,32.6,34.6,3.02,3.54,"3,916","13,026","36,293","9,176","6,442","4,284",49.7%,25.3%,
ZCTA5 91411,"24,628","12,495","12,133",33.8,32.8,34.9,2.63,3.33,"1,845","5,596","18,084","4,427","3,187","2,260",49.3%,22.7%,
ZCTA5 91423,"30,991","14,789","16,202",39.2,38.5,39.8,2.07,2.81,"1,725","5,259","25,128","7,754","5,669","3,959",52.3%,17.0%,
ZCTA5 91436,"14,372","6,890","7,482",46.5,46.2,46.8,2.57,3,809,"3,192","10,893","5,290","4,183","3,111",52.1%,22.2%,
ZCTA5 91501,"20,849","10,040","10,809",38.3,36.9,39.4,2.53,3.15,"1,049","4,106","15,985","5,056","3,776","2,673",51.8%,19.7%,
ZCTA5 91502,"11,371","5,402","5,969",36.4,34.3,38.5,2.26,3.08,498,"2,083","8,789","2,740","2,229","1,802",52.5%,18.3%,
ZCTA5 91504,"24,939","12,006","12,933",38.6,37.4,39.8,2.69,3.21,"1,294","5,235","18,626","6,214","4,647","3,327",51.9%,21.0%,
ZCTA5 91505,"30,778","15,121","15,657",38.9,38.2,39.6,2.33,3.08,"1,585","5,901","23,881","7,076","5,199","3,700",50.9%,19.2%,
ZCTA5 91506,"18,904","9,115","9,789",40.9,39.8,42,2.45,3.11,908,"3,749","14,531","4,964","3,697","2,718",51.8%,19.8%,
ZCTA5 91601,"37,180","18,932","18,248",32.9,32.9,33,2.32,3.2,"1,984","6,636","29,062","5,901","4,091","2,739",49.1%,17.8%,
ZCTA5 91602,"17,473","8,722","8,751",38,38.1,37.8,1.88,2.7,756,"2,154","14,994","3,733","2,595","1,703",50.1%,12.3%,
ZCTA5 91604,"29,034","14,271","14,763",40.2,40.3,40.2,2.01,2.79,"1,501","4,667","23,835","7,500","5,588","3,901",50.8%,16.1%,
ZCTA5 91605,"56,343","28,417","27,926",31.9,30.9,32.9,3.61,4,"4,237","14,822","38,607","9,972","7,063","4,780",49.6%,26.3%,
ZCTA5 91606,"44,958","22,376","22,582",34.3,33.1,35.6,3.00,3.6,"3,009","10,619","32,269","9,068","6,535","4,541",50.2%,23.6%,
ZCTA5 91607,"27,927","13,635","14,292",38.2,37.3,39,2.15,2.96,"1,528","4,893","22,246","6,782","4,935","3,397",51.2%,17.5%,
ZCTA5 91608,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 91701,"38,976","18,966","20,010",39.6,37.9,40.9,2.99,3.36,"1,935","9,258","27,783","9,650","6,644","4,388",51.3%,23.8%,
ZCTA5 91702,"59,705","29,486","30,219",29.4,28.8,30.2,3.67,4.04,"4,517","16,337","38,547","9,742","6,775","4,606",50.6%,27.4%,
ZCTA5 91706,"76,571","37,969","38,602",30.5,29.4,31.8,4.35,4.44,"5,983","22,870","49,621","13,243","9,316","6,195",50.4%,29.9%,
ZCTA5 91708,"3,369",685,"2,684",36,30.6,36.9,3.76,3.88,136,413,"2,873",284,163,87,79.7%,12.3%,
ZCTA5 91709,"74,796","36,954","37,842",36.6,35.6,37.5,3.25,3.54,"4,355","20,290","51,191","13,655","8,669","5,265",50.6%,27.1%,
ZCTA5 91710,"80,358","42,283","38,075",33,32.5,33.7,3.43,3.74,"5,463","20,909","55,534","14,188","9,622","6,182",47.4%,26.0%,
ZCTA5 91711,"35,705","16,777","18,928",38.6,36.7,40.1,2.58,3.1,"1,341","6,643","25,222","10,282","7,954","5,882",53.0%,18.6%,
ZCTA5 91722,"34,409","16,859","17,550",34,32.6,35.5,3.41,3.76,"2,261","9,031","23,703","6,871","4,924","3,410",51.0%,26.2%,
ZCTA5 91723,"18,275","8,783","9,492",35,32.9,36.7,2.86,3.36,"1,271","4,637","12,801","3,886","2,844","2,033",51.9%,25.4%,
ZCTA5 91724,"26,184","12,780","13,404",37.9,35.8,39.7,3.05,3.43,"1,424","6,343","18,517","6,320","4,653","3,318",51.2%,24.2%,
ZCTA5 91730,"66,925","33,393","33,532",32,30.9,33.2,2.80,3.34,"4,636","16,861","47,020","10,850","7,320","4,727",50.1%,25.2%,
ZCTA5 91731,"29,591","14,888","14,703",32.9,31.4,34.6,3.66,4.01,"2,221","7,967","20,206","6,305","4,730","3,426",49.7%,26.9%,
ZCTA5 91732,"61,386","30,755","30,631",31.4,30.3,32.6,4.13,4.27,"4,830","17,514","40,753","11,120","7,839","5,400",49.9%,28.5%,
ZCTA5 91733,"43,896","22,191","21,705",30.5,29.7,31.4,4.40,4.43,"3,733","13,237","28,507","7,238","5,151","3,642",49.4%,30.2%,
ZCTA5 91737,"24,740","12,089","12,651",38.5,36.9,39.7,3.06,3.37,"1,229","6,202","17,272","5,514","3,581","2,165",51.1%,25.1%,
ZCTA5 91739,"34,794","17,254","17,540",33,32.3,33.8,3.30,3.63,"2,449","10,286","22,970","4,885","3,071","1,777",50.4%,29.6%,
ZCTA5 91740,"25,356","12,269","13,087",38.5,36.6,40.3,2.94,3.36,"1,421","6,011","18,182","6,396","4,762","3,375",51.6%,23.7%,
ZCTA5 91741,"25,824","12,498","13,326",41.8,40.5,43,2.82,3.21,"1,132","5,994","18,727","7,256","5,362","3,908",51.6%,23.2%,
ZCTA5 91744,"85,040","42,564","42,476",30.9,29.9,32.1,4.55,4.59,"6,424","25,019","55,501","14,824","10,604","7,375",49.9%,29.4%,
ZCTA5 91745,"54,013","26,287","27,726",40.1,38.4,41.7,3.33,3.59,"2,627","11,858","39,898","15,391","11,606","8,317",51.3%,22.0%,
ZCTA5 91746,"30,485","15,116","15,369",32.4,31.3,33.4,4.50,4.57,"2,199","8,580","20,306","6,046","4,449","3,202",50.4%,28.1%,
ZCTA5 91748,"45,406","22,368","23,038",39.8,38,41.3,3.40,3.56,"2,229","9,334","34,139","12,157","8,725","5,807",50.7%,20.6%,
ZCTA5 91750,"33,249","15,881","17,368",42.6,40.4,44.5,2.71,3.17,"1,450","7,263","24,352","10,163","7,754","5,547",52.2%,21.8%,
ZCTA5 91752,"30,047","14,981","15,066",32.2,31.7,32.7,3.57,4,"2,372","8,804","19,796","5,538","3,918","2,550",50.1%,29.3%,
ZCTA5 91754,"32,742","15,620","17,122",42.9,41.1,44.6,2.92,3.32,"1,505","6,047","25,495","10,631","8,472","6,627",52.3%,18.5%,
ZCTA5 91755,"27,496","13,271","14,225",43.4,41.6,45.1,3.12,3.43,"1,227","4,874","21,674","8,647","6,651","5,026",51.7%,17.7%,
ZCTA5 91759,476,239,237,47.2,45.6,47.6,2.20,2.83,13,78,384,167,118,77,49.8%,16.4%,
ZCTA5 91761,"56,913","28,360","28,553",30.6,29.9,31.4,3.69,3.97,"4,389","16,892","36,946","8,886","5,804","3,472",50.2%,29.7%,
ZCTA5 91762,"55,857","27,686","28,171",30.4,29.3,31.6,3.51,3.91,"4,702","16,748","36,219","9,116","6,495","4,423",50.4%,30.0%,
ZCTA5 91763,"36,375","18,099","18,276",30.8,29.3,32.3,3.81,4.09,"2,931","10,645","23,827","6,309","4,494","3,067",50.2%,29.3%,
ZCTA5 91764,"54,086","27,027","27,059",28.7,28,29.5,3.72,4.08,"4,919","16,749","34,557","7,315","5,032","3,353",50.0%,31.0%,
ZCTA5 91765,"46,457","22,702","23,755",40.8,39.3,42.1,3.08,3.37,"2,022","9,951","34,522","12,145","8,435","5,396",51.1%,21.4%,
ZCTA5 91766,"71,599","36,111","35,488",28.7,27.8,29.8,4.01,4.28,"5,940","22,126","45,387","10,827","7,266","4,730",49.6%,30.9%,
ZCTA5 91767,"48,068","23,685","24,383",31.2,30,32.4,3.47,3.97,"3,774","13,766","31,805","8,430","6,042","4,261",50.7%,28.6%,
ZCTA5 91768,"34,537","17,509","17,028",27.3,26.4,28.4,3.87,4.2,"2,688","9,404","21,680","5,284","3,657","2,476",49.3%,27.2%,
ZCTA5 91770,"62,097","30,521","31,576",38.3,36.9,39.7,3.70,3.96,"3,353","13,936","45,641","15,761","11,665","8,363",50.8%,22.4%,
ZCTA5 91773,"33,119","15,737","17,382",42.5,40.7,44.1,2.73,3.19,"1,451","6,938","24,702","10,005","7,356","5,127",52.5%,20.9%,
ZCTA5 91775,"23,988","11,448","12,540",41.4,40,42.7,2.90,3.31,"1,282","5,280","18,003","6,799","5,119","3,601",52.3%,22.0%,
ZCTA5 91776,"38,475","18,751","19,724",39,37.5,40.4,3.24,3.57,"2,023","7,549","29,442","9,521","7,057","4,926",51.3%,19.6%,
ZCTA5 91780,"34,332","16,438","17,894",41.1,39.7,42.3,3.03,3.38,"1,655","7,434","25,619","9,424","6,819","4,762",52.1%,21.7%,
ZCTA5 91784,"25,938","12,729","13,209",44.5,44,45.1,2.90,3.18,"1,172","5,670","19,217","8,255","6,001","4,080",50.9%,21.9%,
ZCTA5 91786,"51,165","24,516","26,649",33,31.5,34.5,2.79,3.29,"3,584","13,121","35,723","10,406","7,593","5,387",52.1%,25.6%,
ZCTA5 91789,"43,079","20,988","22,091",42.8,41.2,44.2,3.31,3.5,"1,552","8,830","32,123","12,439","8,633","5,445",51.3%,20.5%,
ZCTA5 91790,"44,907","21,721","23,186",35.2,33.5,36.7,3.49,3.82,"2,840","11,618","31,160","9,893","7,240","5,184",51.6%,25.9%,
ZCTA5 91791,"32,414","15,512","16,902",38,35.7,40,3.15,3.56,"1,746","7,735","23,177","8,440","6,379","4,757",52.1%,23.9%,
ZCTA5 91792,"30,854","14,950","15,904",35.3,33.3,37.4,3.35,3.63,"1,906","7,210","22,202","6,929","4,906","3,153",51.5%,23.4%,
ZCTA5 91801,"52,735","24,833","27,902",39.1,37.1,40.8,2.71,3.22,"2,679","9,626","41,152","13,747","10,193","7,407",52.9%,18.3%,
ZCTA5 91803,"30,322","14,486","15,836",39.6,37.9,41.2,3.04,3.45,"1,642","6,078","23,038","8,270","6,251","4,498",52.2%,20.0%,
ZCTA5 91901,"17,403","8,750","8,653",41.9,40.6,43.2,2.70,3.1,904,"4,200","12,493","4,835","3,440","2,311",49.7%,24.1%,
ZCTA5 91902,"17,653","8,603","9,050",43.2,41.9,44.3,2.96,3.26,885,"3,759","13,229","5,730","4,310","3,014",51.3%,21.3%,
ZCTA5 91905,"1,700",965,735,46,44.2,47.6,2.51,3.06,78,326,"1,323",559,424,281,43.2%,19.2%,
ZCTA5 91906,"3,627","1,959","1,668",37.2,35.8,39.1,2.74,3.23,266,"1,043","2,472",923,647,419,46.0%,28.8%,
ZCTA5 91910,"75,802","36,862","38,940",35.6,33.4,37.5,2.87,3.4,"4,925","18,928","53,300","17,422","12,993","9,378",51.4%,25.0%,
ZCTA5 91911,"82,999","39,938","43,061",33.5,31.4,35.2,3.34,3.72,"5,764","22,744","55,957","17,521","13,183","9,883",51.9%,27.4%,
ZCTA5 91913,"40,971","19,793","21,178",32,30.9,33,3.37,3.67,"3,312","12,589","26,708","5,717","3,941","2,593",51.7%,30.7%,
ZCTA5 91914,"15,448","7,521","7,927",34.2,33.4,34.7,3.57,3.78,"1,175","5,041","9,765","2,126","1,389",886,51.3%,32.6%,
ZCTA5 91915,"24,659","12,044","12,615",31.8,30.9,32.5,3.49,3.69,"2,113","7,939","15,718","2,876","1,922","1,132",51.2%,32.2%,
ZCTA5 91916,"1,622",828,794,48.8,48.8,48.8,2.42,2.83,57,314,"1,256",600,402,220,49.0%,19.4%,
ZCTA5 91917,992,513,479,39.8,39.6,40,3.26,3.51,65,245,707,266,195,127,48.3%,24.7%,
ZCTA5 91931,592,305,287,43.7,43.8,43.6,2.39,3.2,31,142,426,159,105,72,48.5%,24.0%,
ZCTA5 91932,"25,718","12,874","12,844",31.5,30.4,32.8,2.82,3.32,"1,982","6,625","17,870","4,808","3,382","2,348",49.9%,25.8%,
ZCTA5 91934,737,378,359,45.8,47.3,44.9,2.39,3.11,38,159,554,275,204,117,48.7%,21.6%,
ZCTA5 91935,"8,624","4,392","4,232",46.7,46.7,46.8,2.93,3.21,302,"1,769","6,468","2,880","1,996","1,284",49.1%,20.5%,
ZCTA5 91941,"31,779","15,341","16,438",40.7,39.4,41.9,2.57,3,"1,999","6,819","23,843","9,291","6,927","4,946",51.7%,21.5%,
ZCTA5 91942,"38,069","18,064","20,005",37.5,35.6,39.7,2.21,2.9,"2,220","6,963","29,672","9,819","7,539","5,706",52.5%,18.3%,
ZCTA5 91945,"25,460","12,426","13,034",35,33.9,36,2.96,3.5,"1,787","6,503","17,812","5,662","4,030","2,839",51.2%,25.5%,
ZCTA5 91948,78,36,42,60.8,65.5,59.5,1.77,2.38,0,4,72,53,42,34,53.8%,5.1%,
ZCTA5 91950,"60,322","31,009","29,313",30.2,27.8,33.3,3.44,3.82,"4,198","15,499","40,985","11,551","8,628","6,371",48.6%,25.7%,
ZCTA5 91962,"1,646",827,819,48.6,49,48.3,2.46,2.84,67,308,"1,288",598,408,224,49.8%,18.7%,
ZCTA5 91963,"1,118",576,542,37.9,37.8,38,3.16,3.7,62,307,769,301,220,145,48.5%,27.5%,
ZCTA5 91977,"58,368","28,506","29,862",33.5,32,34.9,3.18,3.55,"4,267","16,076","39,591","12,213","8,771","6,094",51.2%,27.5%,
ZCTA5 91978,"8,896","4,347","4,549",36.8,34.6,39,2.93,3.31,510,"2,115","6,378","2,164","1,509",973,51.1%,23.8%,
ZCTA5 91980,165,79,86,35.5,36.5,34.5,4.02,4.33,10,50,109,43,33,24,52.1%,30.3%,
ZCTA5 92003,"4,746","2,335","2,411",44.7,44.9,44.5,2.56,2.99,245,973,"3,630","1,591","1,251",930,50.8%,20.5%,
ZCTA5 92004,"3,881","1,943","1,938",55.3,56.1,54.8,2.21,2.81,181,695,"3,076","1,957","1,621","1,242",49.9%,17.9%,
ZCTA5 92007,"10,429","5,239","5,190",39.9,39,40.8,2.34,2.88,534,"1,890","8,283","2,735","1,908","1,215",49.8%,18.1%,
ZCTA5 92008,"27,649","14,098","13,551",39.3,37.2,41.5,2.33,2.93,"1,263","5,186","21,566","7,714","5,807","4,193",49.0%,18.8%,
ZCTA5 92009,"40,747","19,672","21,075",40.2,39.6,40.8,2.67,3.12,"2,757","11,027","28,745","9,950","7,257","5,033",51.7%,27.1%,
ZCTA5 92010,"14,382","6,950","7,432",39.8,38.9,40.5,2.62,3.05,948,"3,562","10,404","3,805","2,773","1,954",51.7%,24.8%,
ZCTA5 92011,"22,405","10,700","11,705",42.4,41.3,43.4,2.48,2.98,"1,332","5,572","16,305","6,436","4,930","3,552",52.2%,24.9%,
ZCTA5 92014,"13,154","6,509","6,645",49.1,48.6,49.5,2.22,2.71,462,"2,252","10,632","5,184","4,014","2,747",50.5%,17.1%,
ZCTA5 92019,"42,598","20,799","21,799",39.2,37.6,40.6,2.79,3.24,"2,462","9,849","30,717","11,145","8,117","5,516",51.2%,23.1%,
ZCTA5 92020,"57,767","28,375","29,392",34.7,33.3,36.1,2.82,3.32,"4,289","14,373","40,825","13,059","9,777","7,000",50.9%,24.9%,
ZCTA5 92021,"65,068","31,821","33,247",35.3,34,36.6,2.82,3.31,"4,597","16,457","45,528","14,519","10,448","7,151",51.1%,25.3%,
ZCTA5 92024,"49,121","24,214","24,907",42,40.7,43.3,2.47,3,"2,674","10,401","37,424","14,111","9,906","6,433",50.7%,21.2%,
ZCTA5 92025,"49,978","25,149","24,829",31.1,30.4,32,3.27,3.7,"4,353","14,685","32,984","9,197","6,664","4,713",49.7%,29.4%,
ZCTA5 92026,"48,922","24,017","24,905",37.4,35.9,38.8,2.84,3.32,"3,269","11,857","35,079","12,502","9,424","6,764",50.9%,24.2%,
ZCTA5 92027,"53,881","26,927","26,954",32.4,31.5,33.5,3.30,3.68,"4,251","15,179","36,094","10,365","7,405","5,221",50.0%,28.2%,
ZCTA5 92028,"46,239","23,098","23,141",40,38.6,41.2,2.88,3.23,"2,961","11,020","33,110","13,799","10,556","7,619",50.0%,23.8%,
ZCTA5 92029,"19,021","9,292","9,729",43.4,42.2,44.6,2.67,3.02,"1,094","3,933","14,464","6,089","4,445","3,040",51.1%,20.7%,
